Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Édition,Unité,Valeur,Symbole,Description du Symbole
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","AFG","Afghanistan","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","AFG","Afghanistan","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ZAF","Afrique du Sud","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","61.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ZAF","Afrique du Sud","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","38.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ALB","Albanie","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","12.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ALB","Albanie","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.3","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","DZA","Algérie","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","20.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","DZA","Algérie","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","9.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","DEU","Allemagne","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","DEU","Allemagne","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","1.7","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","AND","Andorre","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","AND","Andorre","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","AGO","Angola","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","72.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","AGO","Angola","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","25.7","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","AIA","Anguilla","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","","","",""
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","AIA","Anguilla","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","","","",""
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ATG","Antigua-et-Barbuda","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ATG","Antigua-et-Barbuda","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","SAU","Arabie saoudite","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","SAU","Arabie saoudite","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ARG","Argentine","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","Q","Valeur manquante; supprimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ARG","Argentine","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","Q","Valeur manquante; supprimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ARM","Arménie","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","54.9","E","Valeur estimée"
