Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2243","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","3.29","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2761","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","149.24","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3390","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","85.67","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3468","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","23.14","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DEU","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3604","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DEU","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","60.85","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AGO","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2435","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AGO","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","39.62","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ATG","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2458","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ATG","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","258.92","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ANT","Antilles néerlandaises (ex)","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","","","","",""
"FBS","Bilans Alimentaires (2010-)","ANT","Antilles néerlandaises (ex)","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","","","","",""
"FBS","Bilans Alimentaires (2010-)","SAU","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3276","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","SAU","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","172.57","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ARG","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3347","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ARG","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","181.84","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ARM","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3277","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ARM","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","70.07","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AUS","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3471","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AUS","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","185.62","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AUT","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3812","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AUT","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","71.88","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AZE","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3328","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AZE","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","60.67","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BHS","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2620","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BHS","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","239.6","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BHR","Bahreïn","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3506","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BHR","Bahreïn","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","180.43","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BGD","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2581","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BGD","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","6.66","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BRB","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3198","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BRB","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","213.45","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BLR","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3330","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BLR","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","133.01","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BEL","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3909","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BEL","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","60.49","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BLZ","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2815","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BLZ","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","114.07","E","Valeur estimée",""
