"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Afghanistan [AFG]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2243","Valeur estimée",""
"Afghanistan [AFG]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","3.29","Valeur estimée",""
"Afrique du Sud [ZAF]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2761","Valeur estimée",""
"Afrique du Sud [ZAF]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","149.24","Valeur estimée",""
"Albanie [ALB]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3390","Valeur estimée",""
"Albanie [ALB]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","85.67","Valeur estimée",""
"Algérie [DZA]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3468","Valeur estimée",""
"Algérie [DZA]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","23.14","Valeur estimée",""
"Allemagne [DEU]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3604","Valeur estimée",""
"Allemagne [DEU]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","60.85","Valeur estimée",""
"Angola [AGO]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2435","Valeur estimée",""
"Angola [AGO]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","39.62","Valeur estimée",""
"Antigua-et-Barbuda [ATG]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2458","Valeur estimée",""
