"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Afghanistan [AFG]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-8.842977","Ciffre de sources internationales",""
"Afghanistan [AFG]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","344.649112","Ciffre de sources internationales",""
"Afrique du Sud [ZAF]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-4.341935","Ciffre de sources internationales",""
"Afrique du Sud [ZAF]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","6766.481054","Ciffre de sources internationales",""
"Albanie [ALB]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","5.95779","Ciffre de sources internationales",""
"Albanie [ALB]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","6655.258391","Ciffre de sources internationales",""
"Algérie [DZA]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","15.501403","Ciffre de sources internationales",""
"Algérie [DZA]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","4273.922183","Ciffre de sources internationales",""
"Allemagne [DEU]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-4.667223","Ciffre de sources internationales",""
"Allemagne [DEU]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","48901.658828","Ciffre de sources internationales",""
"Andorre [AND]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","0.540404","Ciffre de sources internationales",""
"Andorre [AND]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","42293.297081","Ciffre de sources internationales",""
"Angola [AGO]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","57.139741","Ciffre de sources internationales",""
"Angola [AGO]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","3183.699796","Ciffre de sources internationales",""
"Anguilla [AIA]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","49.488087","Ciffre de sources internationales",""
"Anguilla [AIA]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","28561.285003","Ciffre de sources internationales",""
"Antigua-et-Barbuda [ATG]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","12.781578","Ciffre de sources internationales",""
"Antigua-et-Barbuda [ATG]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","18880.028883","Ciffre de sources internationales",""
"Antilles néerlandaises (ex) [ANT]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","","","",""
"Antilles néerlandaises (ex) [ANT]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","","","",""
"Arabie saoudite [SAU]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","25.974448","Ciffre de sources internationales",""
"Arabie saoudite [SAU]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","30436.278303","Ciffre de sources internationales",""
"Argentine [ARG]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","28.692589","Ciffre de sources internationales",""
"Argentine [ARG]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","13867.913268","Ciffre de sources internationales",""
"Arménie [ARM]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","41.130393","Ciffre de sources internationales",""
"Arménie [ARM]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","7018.113045","Ciffre de sources internationales",""
"Aruba [ABW]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","14.326812","Ciffre de sources internationales",""
"Aruba [ABW]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","33300.838821","Ciffre de sources internationales",""
"Australie [AUS]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","0.370459","Ciffre de sources internationales",""
"Australie [AUS]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","67866.792484","Ciffre de sources internationales",""
"Autriche [AUT]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-2.068805","Ciffre de sources internationales",""
"Autriche [AUT]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","52608.760637","Ciffre de sources internationales",""
"Azerbaïdjan [AZE]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","42.960051","Ciffre de sources internationales",""
"Azerbaïdjan [AZE]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","7599.970692","Ciffre de sources internationales",""
"Bahamas [BHS]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","11.316156","Ciffre de sources internationales",""
