Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","AFG","Afghanistan","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","40000.412","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AFG","Afghanistan","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","40578.842","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AFG","Afghanistan","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","41454.761","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ZAF","Afrique du Sud","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","61502.603","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ZAF","Afrique du Sud","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","62378.41","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ZAF","Afrique du Sud","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","63212.384","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ALB","Albanie","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","2849.635","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ALB","Albanie","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","2827.608","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ALB","Albanie","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","2811.655","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DZA","Algérie","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","44761.099","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DZA","Algérie","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","45477.389","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DZA","Algérie","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","46164.219","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DEU","Allemagne","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","83697.083","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DEU","Allemagne","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","84086.227","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DEU","Allemagne","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","84548.231","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AND","Andorre","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","78.364","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AND","Andorre","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","79.705","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AND","Andorre","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","80.856","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AGO","Angola","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","34532.429","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AGO","Angola","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","35635.029","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AGO","Angola","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","36749.906","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AIA","Anguilla","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","14.475","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AIA","Anguilla","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","14.18","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AIA","Anguilla","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","14.41","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ATG","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","92.349","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ATG","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","92.84","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ATG","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","93.316","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ANT","Antilles néerlandaises (ex)","511","Population totale","3010","Population-Estimations","2021","2021","","","","",""
"OA","Séries temporelles annuelles","ANT","Antilles néerlandaises (ex)","511","Population totale","3010","Population-Estimations","2022","2022","","","","",""
"OA","Séries temporelles annuelles","ANT","Antilles néerlandaises (ex)","511","Population totale","3010","Population-Estimations","2023","2023","","","","",""
