"","","","2021 [2021]","2021 [2021]","2021 [2021]","2021 [2021]","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]","2023 [2023]","2023 [2023]","2023 [2023]","2023 [2023]"
"","","","Unité","Valeur","Description du Symbole","Note","Unité","Valeur","Description du Symbole","Note","Unité","Valeur","Description du Symbole","Note"
"Afghanistan [AFG]","Population totale [511]","Population-Estimations [3010]","1000 No","40000.412","Ciffre de sources internationales [X]","","1000 No","40578.842","Ciffre de sources internationales [X]","","1000 No","41454.761","Ciffre de sources internationales [X]",""
"Afrique du Sud [ZAF]","Population totale [511]","Population-Estimations [3010]","1000 No","61502.603","Ciffre de sources internationales [X]","","1000 No","62378.41","Ciffre de sources internationales [X]","","1000 No","63212.384","Ciffre de sources internationales [X]",""
"Albanie [ALB]","Population totale [511]","Population-Estimations [3010]","1000 No","2849.635","Ciffre de sources internationales [X]","","1000 No","2827.608","Ciffre de sources internationales [X]","","1000 No","2811.655","Ciffre de sources internationales [X]",""
"Algérie [DZA]","Population totale [511]","Population-Estimations [3010]","1000 No","44761.099","Ciffre de sources internationales [X]","","1000 No","45477.389","Ciffre de sources internationales [X]","","1000 No","46164.219","Ciffre de sources internationales [X]",""
"Allemagne [DEU]","Population totale [511]","Population-Estimations [3010]","1000 No","83697.083","Ciffre de sources internationales [X]","","1000 No","84086.227","Ciffre de sources internationales [X]","","1000 No","84548.231","Ciffre de sources internationales [X]",""
"Andorre [AND]","Population totale [511]","Population-Estimations [3010]","1000 No","78.364","Ciffre de sources internationales [X]","","1000 No","79.705","Ciffre de sources internationales [X]","","1000 No","80.856","Ciffre de sources internationales [X]",""
"Angola [AGO]","Population totale [511]","Population-Estimations [3010]","1000 No","34532.429","Ciffre de sources internationales [X]","","1000 No","35635.029","Ciffre de sources internationales [X]","","1000 No","36749.906","Ciffre de sources internationales [X]",""
"Anguilla [AIA]","Population totale [511]","Population-Estimations [3010]","1000 No","14.475","Ciffre de sources internationales [X]","","1000 No","14.18","Ciffre de sources internationales [X]","","1000 No","14.41","Ciffre de sources internationales [X]",""
"Antigua-et-Barbuda [ATG]","Population totale [511]","Population-Estimations [3010]","1000 No","92.349","Ciffre de sources internationales [X]","","1000 No","92.84","Ciffre de sources internationales [X]","","1000 No","93.316","Ciffre de sources internationales [X]",""
"Antilles néerlandaises (ex) [ANT]","Population totale [511]","Population-Estimations [3010]","","","","","","","","","","","",""
"Arabie saoudite [SAU]","Population totale [511]","Population-Estimations [3010]","1000 No","31328.375","Ciffre de sources internationales [X]","","1000 No","32175.352","Ciffre de sources internationales [X]","","1000 No","33264.292","Ciffre de sources internationales [X]",""
"Argentine [ARG]","Population totale [511]","Population-Estimations [3010]","1000 No","45312.281","Ciffre de sources internationales [X]","","1000 No","45407.904","Ciffre de sources internationales [X]","","1000 No","45538.401","Ciffre de sources internationales [X]",""
"Arménie [ARM]","Population totale [511]","Population-Estimations [3010]","1000 No","2870.349","Ciffre de sources internationales [X]","","1000 No","2880.874","Ciffre de sources internationales [X]","","1000 No","2943.393","Ciffre de sources internationales [X]",""
"Aruba [ABW]","Population totale [511]","Population-Estimations [3010]","1000 No","107.558","Ciffre de sources internationales [X]","","1000 No","107.782","Ciffre de sources internationales [X]","","1000 No","107.939","Ciffre de sources internationales [X]",""
"Ascension, Sainte-Hélène et Tristan da Cunha [SHN]","Population totale [511]","Population-Estimations [3010]","1000 No","5.39","Ciffre de sources internationales [X]","","1000 No","5.343","Ciffre de sources internationales [X]","","1000 No","5.289","Ciffre de sources internationales [X]",""
"Australie [AUS]","Population totale [511]","Population-Estimations [3010]","1000 No","25956.418","Ciffre de sources internationales [X]","","1000 No","26200.984","Ciffre de sources internationales [X]","","1000 No","26451.124","Ciffre de sources internationales [X]",""
"Autriche [AUT]","Population totale [511]","Population-Estimations [3010]","1000 No","8967.057","Ciffre de sources internationales [X]","","1000 No","9064.677","Ciffre de sources internationales [X]","","1000 No","9130.429","Ciffre de sources internationales [X]",""
"Azerbaïdjan [AZE]","Population totale [511]","Population-Estimations [3010]","1000 No","10234.371","Ciffre de sources internationales [X]","","1000 No","10295.304","Ciffre de sources internationales [X]","","1000 No","10318.207","Ciffre de sources internationales [X]",""
"Bahamas [BHS]","Population totale [511]","Population-Estimations [3010]","1000 No","396.373","Ciffre de sources internationales [X]","","1000 No","397.538","Ciffre de sources internationales [X]","","1000 No","399.44","Ciffre de sources internationales [X]",""
"Bahreïn [BHR]","Population totale [511]","Population-Estimations [3010]","1000 No","1501.764","Ciffre de sources internationales [X]","","1000 No","1533.459","Ciffre de sources internationales [X]","","1000 No","1569.666","Ciffre de sources internationales [X]",""
"Bangladesh [BGD]","Population totale [511]","Population-Estimations [3010]","1000 No","167658.855","Ciffre de sources internationales [X]","","1000 No","169384.897","Ciffre de sources internationales [X]","","1000 No","171466.99","Ciffre de sources internationales [X]",""
"Barbade [BRB]","Population totale [511]","Population-Estimations [3010]","1000 No","282.147","Ciffre de sources internationales [X]","","1000 No","282.318","Ciffre de sources internationales [X]","","1000 No","282.336","Ciffre de sources internationales [X]",""
"Belgique [BEL]","Population totale [511]","Population-Estimations [3010]","1000 No","11570.844","Ciffre de sources internationales [X]","","1000 No","11641.82","Ciffre de sources internationales [X]","","1000 No","11712.893","Ciffre de sources internationales [X]",""
"Belgique-Luxembourg [F15]","Population totale [511]","Population-Estimations [3010]","","","","","","","","","","","",""
"Belize [BLZ]","Population totale [511]","Population-Estimations [3010]","1000 No","395.346","Ciffre de sources internationales [X]","","1000 No","402.733","Ciffre de sources internationales [X]","","1000 No","411.106","Ciffre de sources internationales [X]",""
"Bermudes [BMU]","Population totale [511]","Population-Estimations [3010]","1000 No","64.648","Ciffre de sources internationales [X]","","1000 No","64.749","Ciffre de sources internationales [X]","","1000 No","64.698","Ciffre de sources internationales [X]",""
"Bhoutan [BTN]","Population totale [511]","Population-Estimations [3010]","1000 No","775.442","Ciffre de sources internationales [X]","","1000 No","780.914","Ciffre de sources internationales [X]","","1000 No","786.385","Ciffre de sources internationales [X]",""
"Bolivie (État plurinational de) [BOL]","Population totale [511]","Population-Estimations [3010]","1000 No","11937.36","Ciffre de sources internationales [X]","","1000 No","12077.154","Ciffre de sources internationales [X]","","1000 No","12244.159","Ciffre de sources internationales [X]",""
"Bonaire, Saint-Eustache et Saba [BES]","Population totale [511]","Population-Estimations [3010]","1000 No","27.323","Ciffre de sources internationales [X]","","1000 No","28.627","Ciffre de sources internationales [X]","","1000 No","29.898","Ciffre de sources internationales [X]",""
"Bosnie-Herzégovine [BIH]","Population totale [511]","Population-Estimations [3010]","1000 No","3244.907","Ciffre de sources internationales [X]","","1000 No","3204.802","Ciffre de sources internationales [X]","","1000 No","3185.073","Ciffre de sources internationales [X]",""
