Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","AFG","Afghanistan","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","6902.31","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","AFG","Afghanistan","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","11649","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","AFG","Afghanistan","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","56.04","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","AFG","Afghanistan","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","75","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","ZAF","Afrique du Sud","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","290742.62","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","ZAF","Afrique du Sud","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","219147","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","ZAF","Afrique du Sud","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","45821.28","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","ZAF","Afrique du Sud","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","79881","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","ALB","Albanie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","43124.46","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","ALB","Albanie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","73384","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","ALB","Albanie","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","ALB","Albanie","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","DZA","Algérie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","DZA","Algérie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","DZA","Algérie","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","29","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","DZA","Algérie","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","24","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","DEU","Allemagne","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","494001.7","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","DEU","Allemagne","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","1524674","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","DEU","Allemagne","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","323859.35","A","Chiffre officiel",""
