"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Afghanistan [AFG]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","56.04","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Afghanistan [AFG]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","75","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Afghanistan [AFG]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","6902.31","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Afghanistan [AFG]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","11649","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Afrique du Sud [ZAF]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","45821.28","Chiffre officiel [A]",""
"Afrique du Sud [ZAF]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","79881","Chiffre officiel [A]",""
"Afrique du Sud [ZAF]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","290742.62","Chiffre officiel [A]",""
"Afrique du Sud [ZAF]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","219147","Chiffre officiel [A]",""
"Albanie [ALB]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Albanie [ALB]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Albanie [ALB]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","43124.46","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Albanie [ALB]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","73384","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Algérie [DZA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","29","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Algérie [DZA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","24","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Algérie [DZA]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Algérie [DZA]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Allemagne [DEU]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","323859.35","Chiffre officiel [A]",""
"Allemagne [DEU]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","799388","Chiffre officiel [A]",""
"Allemagne [DEU]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","494001.7","Chiffre officiel [A]",""
"Allemagne [DEU]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","1524674","Chiffre officiel [A]",""
"Angola [AGO]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","10.87","Valeur imputée [I]",""
"Angola [AGO]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","100","Chiffre officiel [A]",""
"Angola [AGO]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","308122.71","Chiffre officiel [A]",""
