Code Domaine,Domaine,Code pays déclarant (ISO3),Pays déclarants,Code pays partenaire (ISO3),Pays partenaires,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TM","Matrices du commerce détaillées","FRA","France","AFG","Afghanistan","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","AFG","Afghanistan","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","ZAF","Afrique du Sud","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","ZAF","Afrique du Sud","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","ALB","Albanie","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","491.3","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ALB","Albanie","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","574","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DZA","Algérie","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","DZA","Algérie","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","DEU","Allemagne","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","38321.24","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DEU","Allemagne","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","79441","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","AGO","Angola","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","248.37","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","AGO","Angola","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","220","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ATG","Antigua-et-Barbuda","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","ATG","Antigua-et-Barbuda","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
