"","","","","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","","Unité","Valeur","Description du Symbole"
"France [FRA]","Afghanistan [AFG]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Afghanistan [AFG]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Afrique du Sud [ZAF]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Afrique du Sud [ZAF]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Albanie [ALB]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","491.3","Chiffre officiel"
"France [FRA]","Albanie [ALB]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","574","Chiffre officiel"
"France [FRA]","Algérie [DZA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Algérie [DZA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Allemagne [DEU]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","38321.24","Chiffre officiel"
"France [FRA]","Allemagne [DEU]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","79441","Chiffre officiel"
"France [FRA]","Angola [AGO]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","248.37","Chiffre officiel"
"France [FRA]","Angola [AGO]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","220","Chiffre officiel"
"France [FRA]","Antigua-et-Barbuda [ATG]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Antigua-et-Barbuda [ATG]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Arabie saoudite [SAU]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","60196.71","Chiffre officiel"
"France [FRA]","Arabie saoudite [SAU]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","130852","Chiffre officiel"
"France [FRA]","Argentine [ARG]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Argentine [ARG]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Arménie [ARM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","387.33","Chiffre officiel"
"France [FRA]","Arménie [ARM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","262","Chiffre officiel"
"France [FRA]","Australie [AUS]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Australie [AUS]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Autriche [AUT]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","391.59","Chiffre officiel"
"France [FRA]","Autriche [AUT]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","1490","Chiffre officiel"
"France [FRA]","Azerbaïdjan [AZE]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Azerbaïdjan [AZE]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Bahamas [BHS]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Bahamas [BHS]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Bahreïn [BHR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","357.1","Chiffre officiel"
"France [FRA]","Bahreïn [BHR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","848","Chiffre officiel"
"France [FRA]","Bangladesh [BGD]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Bangladesh [BGD]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Barbade [BRB]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Barbade [BRB]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Belgique [BEL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","29989.53","Chiffre officiel"
"France [FRA]","Belgique [BEL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","72685","Chiffre officiel"
"France [FRA]","Belgique-Luxembourg [F15]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Belgique-Luxembourg [F15]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Belize [BLZ]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Belize [BLZ]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Bhoutan [BTN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Bhoutan [BTN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Bolivie (État plurinational de) [BOL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Bolivie (État plurinational de) [BOL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Bosnie-Herzégovine [BIH]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Bosnie-Herzégovine [BIH]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Botswana [BWA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Botswana [BWA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Brunéi Darussalam [BRN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Brunéi Darussalam [BRN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Brésil [BRA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Brésil [BRA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Bulgarie [BGR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","383.79","Chiffre officiel"
"France [FRA]","Bulgarie [BGR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","600","Chiffre officiel"
"France [FRA]","Burkina Faso [BFA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","5.54","Chiffre officiel"
"France [FRA]","Burkina Faso [BFA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","22","Chiffre officiel"
"France [FRA]","Burundi [BDI]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Burundi [BDI]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Bélarus [BLR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Bélarus [BLR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Bénin [BEN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","2425.84","Chiffre officiel"
"France [FRA]","Bénin [BEN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","3170","Chiffre officiel"
"France [FRA]","Cabo Verde [CPV]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","51.39","Chiffre officiel"
"France [FRA]","Cabo Verde [CPV]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","90","Chiffre officiel"
"France [FRA]","Cambodge [KHM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","0.07","Chiffre officiel"
"France [FRA]","Cambodge [KHM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","3","Chiffre officiel"
"France [FRA]","Cameroun [CMR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","165.33","Chiffre officiel"
"France [FRA]","Cameroun [CMR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","396","Chiffre officiel"
"France [FRA]","Canada [CAN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","26.52","Chiffre officiel"
"France [FRA]","Canada [CAN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","19","Chiffre officiel"
"France [FRA]","Chili [CHL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
