iso3,pays,continent,dist_Commerciale_Fra (km),Population_2022,Bal_Imp-Exp_Poulet(kg/pers),PIB-Valeur par habitant(USD),Part de Volaille dans Alimentation(%),Part d'accès à Alimentation saine(%),Export Poulet Fr (kg/pers),Score Qualité Transport 2023 (1 à 5),Score Stabilité Politique 2023 (1 à 100)
AGO,Angola,Africa,-6363.6,35635029,8.64631932809708,3183.699796,1.6271047227926076,27.799999999999997,0.0069698273572332435,2.1,32.2274894714355
ALB,Albanie,Europe,-1461.321,2827608,15.251215868677695,6655.258391,2.5271386430678464,87.8,0.17375109986957174,2.7,51.6587677001953
ARE,UAE,Asia,-5171.043,10242086,50.91155356438132,53707.980081,6.2752183077386325,97.7,0.5952888893922585,4.1,70.1421813964844
ARM,Arménie,Asia,-3391.306,2880874,12.983014876735323,7018.113045,2.138236191638694,45.1,0.13444878186272638,2.6,17.0616111755371
AUS,Australie,Pacific,-16464.9,26200984,-1.9109854805453108,67866.792484,5.3477384039181795,96.8,0.0,4.1,79.620849609375
AUT,Autriche,Europe,-920.6031,9064677,0.5596790707490185,52608.760637,1.8856243441762854,97.1,0.04319955360792227,3.9,71.5639801025391
BEL,Belgique,Europe,-378.6808,11641820,-17.99868577249949,49986.832591,1.547454591967255,99.3,2.5760173237517847,4.1,58.2938385009766
BEN,Bénin,Africa,-4317.891,13759501,6.216652769602619,1302.850067,1.3732950466618807,43.2,0.17630290517076164,2.5,31.7535552978516
BFA,Burkina Faso,Africa,-3863.861,22509038,0.0022088904910107666,845.760531,0.9401869158878504,36.9,0.0002461233572043372,2.3,5.68720388412476
BGD,Bangladesh,Asia,-7938.608,169384897,4.3805558414101104e-05,2527.52127,0.2580395195660597,51.8,0.0,2.3,15.6398105621338
BGR,Bulgarie,Europe,-1769.566,6825864,8.38568568023037,13301.92371,2.6265139116202945,94.2,0.056225849211176786,3.1,55.4502372741699
BIH,Bosnie-Herzégovine,Europe,-1187.24,3204802,1.119669795513108,7568.79898,2.43853919239905,94.2,0.0,2.6,31.2796211242676
BLR,Biélorussie,Europe,-1921.71,9173237,-18.184165524121966,7642.810883,3.9942942942942943,99.0,0.0,2.7,18.4834117889404
BOL,Bolivie,America,-9900.388,12077154,0.24795742440644541,3600.121635,6.882024882024881,91.5,0.0,2.4,35.0710906982422
BRA,Brésil,America,-8584.978,210306415,-20.728002519561755,8917.673509,5.378517397881997,74.7,0.0,3.2,28.4360198974609
BTN,Bhoutan,Asia,-7622.959,780914,3.4989640344519373,3704.344581,0.5654743390357698,94.7,0.0,2.2,83.4123229980469
BWA,Botswana,Africa,-8126.788,2439892,1.9866862959508045,7737.65468,0.3718535469107552,39.7,0.0,3.1,87.2037887573242
CAF,Centrafrique,Africa,-4860.918,5098039,1.184259280872508,429.395861,0.39683257918552034,13.299999999999997,0.020194039315901663,2.6,3.3175356388092
CAN,Canada,America,-6326.645,38821259,2.1879357390238168,55596.844019,4.262895174708818,97.3,0.0006831308587905405,4.3,76.3033142089844
CHE,Suisse,Europe,-405.9947,8792182,3.703103507183996,93636.424921,1.971039675644367,98.8,0.3878445646370833,4.4,88.6255950927734
CHL,Chili,America,-11550.63,19553036,0.5129372236618395,15338.201466,4.641983258209916,59.6,0.0,2.8,50.2369651794434
CHN,Chine,Asia,-8716.882,1425179569,0.7518398125450534,12597.889086,2.2853418308227114,85.4,1.7667949041444615e-05,4.0,25.1184825897217
CMR,Cameroun,Africa,-4587.788,27632771,0.037961086132114644,1588.478723,0.5915492957746479,44.1,0.005983113311364973,2.1,11.3744077682495
COD,RDCongo,Africa,-5995.903,102396968,0.7508327785643027,631.770922,0.1758139534883721,8.599999999999994,0.030485668286584423,2.3,5.21327018737793
COG,Congo,Africa,-5746.042,6035104,25.301303838343134,2570.136581,4.73482428115016,20.900000000000006,0.49290617029963363,2.1,46.9194297790527
COL,Colombie,America,-8604.242,51737944,1.228200138760829,6630.282452,4.449228791773779,63.4,0.0,2.9,18.9573459625244
