iso3,pays,continent,dist_Commerciale_Fra (km),Population_2022,Balance_IMP-EXP_Poulet_kg,PIB-Valeur par habitant(USD),Part de Volaille dans Alimentation(%),Part d'accès à Alimentation saine(%),Exportations Poulet Fr Qté (kg),Score Qualité Transport 2023 (1 à 5),Score Stabilité Politique 2023 (1 à 100)
ABW,Aruba,America,7711.83,107782,,33300.838821,,,,,97.6303329467773
AFG,Afghanistan,Asia,5489.888,40578842,6846270.0,344.649112,0.14667855550601872,,0.0,1.7,1.42180097103119
AIA,Anguilla,America,6737.844,14180,,28561.285003,,,,,91.9431304931641
AND,Andorre,Europe,426.8953,79705,,42293.297081,,,,,98.5782012939453
ANT,Antilles néerlandaises,America,7523.111,,,,,,,,
ARG,Argentine,America,10921.86,45407904,-169403510.0,13867.913268,5.432925007469375,,0.0,2.8,41.7061614990234
ATF,Terres australes françaises,Antartic,,,,,,,,,
ATG,Antigua-et-Barbuda,America,6733.584,92840,6401150.0,18880.028883,10.533767290480066,,0.0,2.7,80.568717956543
AZE,Azerbaïdjan,Asia,3707.515,10295304,30909030.0,7599.970692,1.8230168269230769,99.3,0.0,,18.0094795227051
BDI,Burundi,Africa,6138.027,13321097,121070.0,312.874378,0.1413105413105413,10.400000000000006,0.0,,12.7962083816528
BHR,Bahreïn,Asia,4733.109,1533459,55532080.0,30146.509534,5.146320593268682,,357100.0,3.6,29.3838863372803
BHS,Bahamas,America,7291.048,397538,17570610.0,31458.354292,9.145038167938932,,0.0,2.5,84.8341217041016
BLZ,Belize,America,8714.441,402733,850.0,6984.216959,4.052220248667851,38.2,0.0,,65.4028472900391
BMU,Bermudes,America,5835.873,64748,,117568.241306,,,,,86.7298583984375
BRB,Barbade,America,6877.665,282318,954310.0,20238.784242,6.674484052532833,,0.0,,93.8388595581055
BRN,Brunéi Darussalam,Asia,11241.11,455370,0.0,37152.466238,,,0.0,,96.6824645996094
CCK,Îles Cocos (Keeling),Pacific,,,,,,,,,
CIV,Côte d'Ivoire,Africa,4571.324,30395002,273440.0,2486.412194,0.31357941076870977,50.3,70090.0,,21.8009471893311
COK,Îles Cook,Pacific,16737.51,14723,1209860.0,17033.07544,,,0.0,,94.7867279052734
COM,Comores,Africa,7667.248,834188,13415680.0,1489.752341,3.611754966887417,,941460.0,,38.8625602722168
CPV,Cap-Vert,Africa,4256.376,519741,11203220.0,3902.589049,3.3694171082513247,69.5,51390.0,,79.1469192504883
CUB,Cuba,America,7711.314,11059820,314656610.0,13128.020768,3.443119266055046,,0.0,2.2,56.8720397949219
CXR,Île Christmas,Pacific,,,,,,,,,
CYM,Îles Caïmans,America,8043.123,71591,,91420.001485,,,,,99.5260696411133
DMA,Dominique,America,6829.773,66826,3511700.0,8414.536593,5.783936276136741,,0.0,,95.7345962524414
ECU,Equateur,America,9555.573,17823897,-10.0,6391.282484,4.260494311494703,74.1,0.0,,32.7014236450195
ERI,Erythrée,Africa,4854.223,3409447,26820.0,646.926451,,,0.0,,17.5355453491211
ESH,Sahara occidental,Africa,2663.348,568739,,,,,,,
ETH,Ethiopie,Africa,5350.323,125384287,223340.0,964.273221,0.060056428859330914,45.9,3140.0,,6.16113758087158
FLK,Îles Falkland,America,12386.69,3490,,,,,,,
FRO,Îles Féroé,Europe,1783.237,54011,407230.0,,,,0.0,,
FSM,Micronésie (Etats fédérés de),Pacific,13290.89,112114,,3741.057768,5.140471869328493,,0.0,,89.5734634399414
GEO,Géorgie,Asia,3248.368,3794784,43708760.0,6571.272835,2.335479716677399,,1375970.0,2.3,33.1753540039062
GIB,Gibraltar,Europe,1364.162,37609,,,,,,,
