STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_LPI_LP_LPI_INFR_XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE_L1T5H,score (1=low to 5=high),WB_LPI_SCORE_OV,Score: Overall,_Z,Not Applicable,_Z,Not Applicable,2023,1.7,WB_LPI,Logistics Performance Index,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_LPI_LP_LPI_INFR_XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE_L1T5H,score (1=low to 5=high),WB_LPI_SCORE_OV,Score: Overall,_Z,Not Applicable,_Z,Not Applicable,2018,1.807143,WB_LPI,Logistics Performance Index,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_LPI_LP_LPI_INFR_XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE_L1T5H,score (1=low to 5=high),WB_LPI_SCORE_OV,Score: Overall,_Z,Not Applicable,_Z,Not Applicable,2016,1.835473,WB_LPI,Logistics Performance Index,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_LPI_LP_LPI_INFR_XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE_L1T5H,score (1=low to 5=high),WB_LPI_SCORE_OV,Score: Overall,_Z,Not Applicable,_Z,Not Applicable,2014,1.818951,WB_LPI,Logistics Performance Index,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_LPI_LP_LPI_INFR_XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE_L1T5H,score (1=low to 5=high),WB_LPI_SCORE_OV,Score: Overall,_Z,Not Applicable,_Z,Not Applicable,2012,2.003611,WB_LPI,Logistics Performance Index,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_LPI_LP_LPI_INFR_XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE_L1T5H,score (1=low to 5=high),WB_LPI_SCORE_OV,Score: Overall,_Z,Not Applicable,_Z,Not Applicable,2010,1.873596,WB_LPI,Logistics Performance Index,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_LPI_LP_LPI_INFR_XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE_L1T5H,score (1=low to 5=high),WB_LPI_SCORE_OV,Score: Overall,_Z,Not Applicable,_Z,Not Applicable,2007,1.1,WB_LPI,Logistics Performance Index,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_LPI_LP_LPI_INFR_XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE_L1T5H,score (1=low to 5=high),WB_LPI_SCORE_OV,Score: Overall,_Z,Not Applicable,_Z,Not Applicable,2023,2.7,WB_LPI,Logistics Performance Index,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_LPI_LP_LPI_INFR_XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE_L1T5H,score (1=low to 5=high),WB_LPI_SCORE_OV,Score: Overall,_Z,Not Applicable,_Z,Not Applicable,2018,2.293674,WB_LPI,Logistics Performance Index,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_LPI_LP_LPI_INFR_XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE_L1T5H,score (1=low to 5=high),WB_LPI_SCORE_OV,Score: Overall,_Z,Not Applicable,_Z,Not Applicable,2016,1.980952,WB_LPI,Logistics Performance Index,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
