"Id_anonymisé";"Sexe";"Date_naissance";"Congé maternité A-1";"Contrat";"Durée hebdo";"Salaire base mensuel";"%variable_moyen";"Augmentation";"Promotion";"Ancienneté_an";"Service";"Work_accident";"Niveau de satisfaction";"Date_fin_periode";"Tanche_Age";"Tranche_Ancienneté";"Type_Durée_Hebdo";"Taux_Activité_%";"Salaire_variable_mensuel_moy";"Salaire_Total_Mensuel";"Salaire_Total_Annuel";"Salaire_Total_Annuel_ETP";"Tranche_Salaire_Total_Annuel_ETP"
"c25592b3c27f84f9f15df606418c4cd6287a4b92";"H";"c4e5c0cea2ab36b9a062a2728f8d5f88fc50959a";0;"CDI";35;9999,3833;27;0;0;"6c1f19ea6f23717b5f0aee4b132196488d3a9c24";"Marketing";0;34;"2024-12-31";"40-49";"15-19";"Tps Complet";100;2699,833491;12699,216790999999;152390,601492;152390,601492;"140KE-160KE"
"3119cb8461d70b7b814ea9dddf758e08cc06ba26";"H";"c152a1405d5f31d615d88e8df24ab552c396a3de";0;"CDI";35;9978,15;34;0;0;"f7475b81fdc4723ec189ed2fbacb5f50b84b6a92";"Compta Finances";0;78;"2024-12-31";"40-49";"10-14";"Tps Complet";100;3392,571;13370,721;160448,652;160448,652;"160KE et+"
"374c105a7b6c63e13c0f5a6a277abe6e66c07d87";"H";"55cac899bf9eab9c8dc4b69e9216b6239d86022e";0;"CDI";35;9940,2333;24;0;0;"510839b5b16349d90a62616d0ea6997fe61a7ce2";"Marketing";0;45;"2024-12-31";"40-49";"20-25";"Tps Complet";100;2385,655992;12325,889292;147910,671504;147910,671504;"140KE-160KE"
"4c6b47a5307ce98bb7b5ea19ac1f2a7eee0b75f8";"H";"28cf3dffddef6662f9c28a9d0c69ab36471172e4";0;"CDI";35;9928,1;27;1;1;"c23f7da7070511444ebc75875fd9d202b5dd13cf";"RH";0;58;"2024-12-31";"30-39";"10-14";"Tps Complet";100;2680,5870000000004;12608,687000000002;151304,244;151304,244;"140KE-160KE"
"cbde8916b06a9cce3255b0ea2d26a203a2a6a190";"F";"327564948b0767ad3f12816a7f136913025cafc7";0;"CDI";35;9873,5;13;0;0;"1a7ddb98312d15d8f45551941fbb124a2594b26f";"Consultant";0;60;"2024-12-31";"40-49";"20-25";"Tps Complet";100;1283,555;11157,055;133884,66;133884,66;"120KE-140KE"
"defe78425dae0f6a97d08a78cce780f149ff0c56";"H";"dc34e2df281270f89e65ddd5c077fbb140db8d01";0;"CDI";35;9785,5333;28;0;0;"70b1b12ea70d4cfbb87dd74ec4de35dc04b5dd34";"Commercial";1;40;"2024-12-31";"30-39";"15-19";"Tps Complet";100;2739,949324;12525,482624;150305,79148800002;150305,79148800002;"140KE-160KE"
"366fcd656b4aafdcea811cdb363837ef11e7e574";"F";"469c6e63e0acd4a5100df07624d0e8f101142065";0;"CDI";35;9782,5;38;0;0;"03c10c50990743199cc887aaacd3f88a0a0a026e";"Consultant";0;69;"2024-12-31";"40-49";"05-09";"Tps Complet";100;3717,35;13499,85;161998,2;161998,2;"160KE et+"
"7ecf0bcf738ada8efe11bfd0aca082e5f96e7927";"F";"e80eab2cb49b84974c82cf7b295db27cfaabad43";0;"CDI";35;9777,95;4;1;0;"1287384bc5ef3ab84a36a5ef1d888df2763567f4";"Commercial";1;13;"2024-12-31";"40-49";"10-14";"Tps Complet";100;391,11800000000005;10169,068000000001;122028,81600000002;122028,81600000002;"120KE-140KE"
"1a310ef1b3fdb583536fcb9c185d60aea3f73f31";"H";"6f839d85a0d5959fa1ae1d5f513f7d476f6a50b5";0;"CDI";35;9737;12;1;1;"f40141584308035bb03b454584dbe23925c8bab3";"Consultant";0;72;"2024-12-31";"50 et+";"05-09";"Tps Complet";100;1168,44;10905,44;130865,28;130865,28;"120KE-140KE"
"f1ebe2b0a2a9a1c850a13168cb21065898b01d9e";"H";"ef12b05d2959a99b477b5335a2ea2f39a3829cc6";0;"CDI";35;9642,9667;17;0;0;"b2cc37fd75c7d64c337be8287efb964bab2565be";"RH";0;3;"2024-12-31";"50 et+";"15-19";"Tps Complet";100;1639,3043390000003;11282,271039000001;135387,25246800002;135387,25246800002;"120KE-140KE"
